"text","rating","bahasa"
"in most movies, a guy gets shot in the face once and you barely see it, so it's really terrific to find one where you get to see him get shot 17 times through his motorcycle helmet with an Italian machine pistol and then run over by a truck.",8,"english"
"IN-FUCKING-CREDIBLE!!!  The Raid 2 is single handedly the best action movie I ever seen! The action choreography was absolutely mind blowing. The Raid 2 is a mixture of Die Hard and Kill Bill on steroids. I'm sorry young Bruce Willis, Iko Uwais has taken your place as my favorite action star of all time. The hand to hand combat is insane. I witnessed the great car chase sequence of my life. If you ever see a chick wielding hammers, RUN!…",9,"english"
"Having seen countless reviews I got the distinct impression it was top heavy in boring drama and the real kick ass action only happens in the last 20 to 30 minutes! It couldn't have been further from the truth! You couldn't swing a dead cat without hitting a phenomenal action sequence from beginning to end for it was riddled with it!  Yes there was an attempt at developing a more complex storyline and fleshing out its characters! Evans was stuck…",10,"english"
"ok so maybe the Oscars *won't* be the most interminable precisely choreographed hell garbage I force myself to watch this week.  why is the sequel to a film about people climbing a staircase about as clear as LAST YEAR AT MARIENBAD?  listen, the athleticism and camera operating (which is also a display of athleticism) at work here is impressive beyond measure. the go-for-broke ambition is laudable, despite being completely unsupported by narrative purpose and ultimately leading to the film's undoing.…",3,"english"
"Things I've learned from The Raid 2:  - Indonesian people snap like twigs.  - I didn't like the first film because of its lack of plot and its repetitive nature. The Raid 2 proves that actually having a plot does not necessarily make a film better.  - If I ever were to take over Indonesian organized crime I'd do two things. First close all the hardware stores and second bring guns. They'd have no weapons and the guns they have…",3,"english"
"The Raid 1 = Knives Out The Raid 2 = Glass Onion  It’s familiar in design but larger in scale. The action pieces upheld the stellar choreography and brutality, and the stakes feel more important.   However, the tight and simple nature of The Raid 1 will always stand out to me.",8,"english"
"This movie was great but I still liked the first one a bit more. This sequel had more story, while still having all the cool action scenes. The story was an interesting undercover story but it just made the movie a bit long and it had a couple of pacing issues. The movie added a lot of characters and I struggled to keep track of them all, which made the movie a bit confusing at some points. Some characters were…",8,"english"
"▶ Part of jvince's Top 200 Films of All Time  The Good: I tried jotting down notes in my mind while watching the film, but there was just too much awesomeness going on, I lost track. Just go see the damn movie. Everyone, just go.  The Bad: No mere mortal could've possibly made this film because it's fucking perfect. The Raid 2 is a perfect action flick.  The Bottom Line: The Raid possessed a simple yet ingenious concept, but it…",10,"english"
"Taking place 2 hours after the events of The Raid, The Raid 2 (also known as The Raid 2: Berandal) continues the quest of Rama as he goes undercover to weed out more corrupt cops & politicians. The story then jumps 2 years ahead where we see him making a steady rise through the hierarchy of Jakarta's most powerful crime syndicate. But when the peace between the underworlds of Indonesia & Japan is disturbed by a new player in town, it sets…",8,"english"
"This is the cinematic equivalent of a drug overdose. In lower quantities, it would be great, maybe even euphoric. But rather than trying to build on what THE RAID did, THE RAID 2 just tries to top it, with more fights, more graphic violence, more characters, and more (SO MUCH MORE) plot. There may not be a clearer example in recent memory of quantity not equaling quality.  There's no question that Gareth Evans and his team are among the very…",5,"english"
"(The Average Joe’s Movie Club Cast)  Cringe Movie Bucket List  (Foreign language film - Indonesian /English dub available)  An endurance test of brutal bone-breaking action stretched thin storywise, and with no actual raids.  ""They're not cops anymore. They're in my world now.""  I have Joey Porter to thank for getting me to finally check out the highly toted action extravaganza known as The Raid films. While The Raid 2 was far too drawn out, I did like there being more…",7,"english"
"one of the greatest to ever do it. takes the concentrated perfection of the first film and amplifies it into a gargantuan epic with even more visceral bodily carnage. violence in the raid 2 ends up being the only pure and honest type of human interaction in a world mired in treachery, body against body, blow-by-blow. iko uwais has a mission to do, and as soon as it ends, so does he; everything else in between is an illusion.  vitalism in motion.",10,"english"
"Holy fuckin' shit. My father and I saw the first showing of the day at our local theater and it was everything we had been hoping for, and somehow even more. This is the ultimate action film, and exactly how a sequel should be. I seriously love the first Raid, but this is simply incredible; I feel like it managed to top the original in every way. Thank you, Gareth Evans and Iko Uwais, for showing all the other bitch action flicks how it's really done.  I can't wait to see The Raid 2 again.. and again... and again....",10,"english"
"I have been incredibly busy this week and have neglected Letterboxd as a result, though somehow, I carved out time to rewatch this grand exercise in action indulgence. The Raid is a lean, mean, bone-snapping machine, notable not just for its well-choreographed action but also for its efficiency. At 150 minutes, the follow-up is a much more cumbersome experience, with Evans making larger narrative choices. But that plot, which is certainly convoluted, provides context to several of the greatest action…",9,"english"
"aka SILATFATHER.  i wonder if the folks that found the first one ugly, derivative and ""too relentless"" will warm to BERANDAL, with its rather measured pace, tangled (but still not particularly original) plot, and far more varied visuals. on the other hand, they may just find it differently boring, especially at 148 minutes (too long, despite my praise).  for my part it took me a while to realize this wasn't going to be wall to wall ass-kicking, but once i…",8,"english"
"Insane.... all the action sequences were top class.. stunned.",9,"english"
"_________________________________________________________________  Film #15 of the ""Scavenger Hunt"" Challenge! Task #18 : A film with your favorite movie character of all time! letterboxd.com/naughty/list/scavenger-hunt/  ___________________________________________________________________  So my favorite movie character of all time is ""Hammer Girl"" (Julie Estelle) Why you ask.. She is the Cherry on Top! The Heat in a Hot Tamale! The Raid 2 has redefined Action films as we know them! And just when you think it can't get any better they introduce a ringer ""Hammer Girl"" to the…",10,"english"
"This one is, in a word, “nails”.  Did you ever watch the first Raid movie and think to yourself, what if this had over 4x the budget, more professionals behind the scenes, and the plot and scope of The Departed? Well here ya fuckin go.  Does this film have some issues? Yeah. It’s too long. The pacing is all over the place. The action scenes are sometimes too drawn out. The acting is—blah blah blah no one fucking cares. Because…",10,"english"
"This morning over coffee I asked Lise if we could just sneak The Raid 2 in as being watched without having to suffer through the last 10 or 15 minutes we missed. She informed me we had more like an hour and a half left. At that point my coffee instantly went cold and my yogurt curdled.",0,"english"
"Letterboxd better add a six-star rating soon, because The Raid 2 deserves it.   Holy. Fucking. Shit.",10,"english"
"A bit more narrative driven at 2.5 hours (the first was only 100 minutes) but the fight scenes are just as expertly choreographed and just as badass. The action isn't quite as non-stop but the pacing is flawless so you wont even mind, and the fight scenes that we get are even more “ultra-violent” and brutal than the first.   I am 100% on board if they decide round it out as a trilogy.   Also, Hammer Girl is the baddest bitch and that subway car scene? *Chef’s Kiss*",9,"english"
"The Raid 2: Berandal is a bold sequel that instead of being just a rehash of the first film, it goes one step further by having well developed characters and a very gripping story. Also, the surprise factor and the brutal action scenes are just as thrilling as they were in Redemption. Despite containing several different locations this time around, the intense claustrophobic vibe is still there as seen in the prison and subway fighting sequences. Yayan Ruhian’s return as…",8,"english"
"2011's The Raid was lean, mean, lightning-paced, and carried absolutely zero baggage, it was a supercharged combination of visual flair and insane ultraviolence. So the decision to develop the story in this eagerly-awaited sequel to a far more expansive narrative based around an undercover infiltration of the underworld, and the duplicity and dealings of gangland politics and rivalry, was always going to deliver a different, far broader kind of film. As a result The Raid 2, weighing in at a…",8,"english"
"The story isn’t the best but the fight scenes and how things are shot are just stunning. How did a welsh man make something this good.",9,"english"
"It was really hard deciding between a 3.5 and a 4 for this…  I absolutely ADORE the first “Raid” film, and I truly think it’s one of the best action films ever made. And luckily, most of what made that film as great as it is is also present in its sequel as well. The fight scenes in this are still as amazing as they were in the first film. The first two prison fights are incredible, and the car…",8,"english"
"How do you keep things fresh in a sequel that merely has a body count in the hundreds, compared to its predecessor, which had a body count in the thousands? (stats have been independently tabulated by the Price Waterhouse Cooper accounting firm)  Well, you gotta add a little panache to your kills, and give your villains some cool tools to wield and inevitably have turned against them.  My name is Rama, and before I put my foot in your…",7,"english"
"I genuinely thought it's an action film how are they gonna renovate and upgrade what the film achieved with the first film but film went on completely different route by making this film a plot based film and giving enough breathe and space to the each character irrespective of their time duration in the film. Here the action isn't ceaseless and unending which was the USP of the first film but makers managed to overturn the way to go forward…",9,"english"
"The Raid 2 learned from it's predecessor. Where the first was lacking (no story and one-dimensional characters) it now fixes these mistakes. We now have an actual story, lots of world-building and Rama is more fleshed out as a character. The action sequences are still mind-blowing top quality but they couldn't beat the first's masterpiece final fight with Mad Dog. I love the new operatives (hammer woman and baseball bat guy) and there's so many unexpected alliances and treasons throughout.…",9,"english"
"""I guess there’s no such thing as a clean war, Lieutenant."" - Rama  *exhales* Alright. Are you ready for this? No, you're not.  No one can be ready for The Raid 2. It's the Aliens to the original film's Alien. A film so relentlessly exciting and intense that it should come with a health warning. Gareth Evans' latest chopsocky action flick does what his previous two failed to: provide a complex, dense plot that unveils its mysteries subtly. More akin…",10,"english"
"Dear Gareth Evans, We need The Raid 3 please!",10,"english"
"""The Raid: Redemption might be a masterfully choreographed, mercilessly brutal, astoundingly stylish, frenetically kinetic, exceptionally badass balls-to-the-wall action film with splashes of hyperrealism and one of the best action films I have ever seen, but the lack of plot and emphasis on characters really makes it difficult to enjoy."" -The Consensus for The Raid: Redemption  ""The Raid: Redemption might be an exceptionally choreographed, notoriously brutal, outstandingly stylish, pulse-poundingly kinetic, otherwordly badass balls-to-the-wall action film with splashes of symmetrical impressionism, and…",8,"english"
"Geoff T's Todd Gaines Challenge The Raid Double Bill: The Raid 2 (2014)  Incredible, just incredible, Gareth Evans outdid himself here. If there's any action movie I'd consider the best in modern times, it would easily be this. It improves on it's predecessor in every way by retaining the fast-paced martial arts action with a much more complex storyline. Maybe a little too complex at times, but that isn't an issue when everything in this is just so well done.…",9,"english"
"My first (of the unquestionably countless many to follow) rewatch of Gareth Evans' extraordinary action film, The Raid 2, and all I have to say is this: it's still fuckin' jaw-droppingly incredible, even already knowing all of the insane things that occur throughout.  Holy shit.",10,"english"
"Still a very bad-ass martial arts flick, but not nearly on the level of the original. There's more graphic blood and gore, a much more intricate plot, more characters and tons of different character motives. One of the most bad-ass actors from the original returns to play a different character which adds a bit to the confusion. In the end I wanted more of what was delivered in the last 30 minutes of the 150 minute feature, but it was…",9,"english"
"Easy As ABC  Now here's a film where the infamous Weinstein scissors could have been put to good use.  I wasn't as wildly enthusiastic about the original The Raid as many people were. I still found it to be a really enjoyable action film albeit with a couple of major flaws. I was quite confident that Gareth Evans would address those flaws for his follow-up - except he hasn't really. He's also picked up a couple more along the way.…",5,"english"
"The torrented subtitles I watched this movie with admittedly weren't the greatest, but I assume the plot was at least slightly convoluted even with better subtitles. However little I understood why the action was occurring, I still enjoyed it to its full extent. If an American action film can be described as ""balls to the walls"", The Raid 2 has balls grazing the ceiling. As far as any conventional action director goes, Gareth Evans is the absolute best, taking the ridiculous extremity of a movie like Kill Bill, and flawlessly matching it with the brutal realism of a legitimate street fight.",8,"english"
"we accidentally rented a version dubbed in english and not in indonesian with subtitles so we had to just get used to every character sounding extremely white and also 4'11",9,"english"
"You made a new enemy today. -Bunawar  The insane martial arts action of The Raid: Redemption breaks out of the confines of it's condemned apartment building to end up in an Indonesian gangster film. Friends know I'm a sucker for either individually, martial arts films or gangster movies, but this? I won't lie, I'm the proverbial ""pig in shit"" right here.  Freed from the confines of that dreaded building director Gareth Evans brings the chaotic action last seen in The…",9,"english"
"This is the greatest action movie I've ever seen.",10,"english"
"""I'm done."" - Rama,  They literally followed up the best fight action movie ever with one of the best crime epics ever. Rama, you've done enough.",10,"english"
"well, well well, will you look at the time. *I look at my watch and every number on it is replaced by 'nosebleed hour'*",10,"english"
"One of the biggest L's Hollywood has ever taken was simply not giving Gareth Evans the keys to direct an American blockbuster. Not to write the script of course because you know.....that would be stupid",8,"english"
"The Raid 2: Berandal (which I can only assume is Indonesian for ""Overkill"") opens with a speech about ambition vs limitation, which as I'm sure I'm the first to point out could double as a word of warning to the filmmakers themselves. The first Raid movie's pared down, single-setting mayhem is replaced with an underworld opera of skull-cracking - undercover intrigue and criminal politics beef up the plot, what seems at times to be a necessary evil for packing this…",9,"english"
"Ranking Indonesian movies  Yeah better action sequences, better cinematography & editing, better story, better acting performances, better sounds, better villain, better set design & world building, better color palette, with added some unique characters & also some cool car chasing scene, this is definitely better than the first one in nearly every aspects!  Fyi, i watch the raid duology for preparation of John wick 4",10,"english"
"100 FILMS IN ONE SUMMER 2021 - FILM #37  The Raid 2 is much bigger and badder than it’s predecessor, and in many ways, it feels like a perfect sequel. Not only is the action in The Raid 2 more visceral, bloody, and well choreographed than in the first film, but it’s more varied with its set pieces and weaponry, making the fights feel more dynamic than the ones in The Raid. The cinematography is also much better here in The…",9,"english"
"Largely corrects the pacing issues I had with THE RAID (corndog enthusiast Kevin Clarke infamously called THE RAID ""relentless"" as a pejorative earning him a Larry David-esque, ""What are you fucking nuts?!"" from Matt Lynch, sufferer of dairy allergies and rageaholicism). It does so by filling in the spaces between the intense action sequences with a cliché-ridden, boiler plate gang war story that is inhabited by characters that tend to fall into one of three piles: obnoxiously grave (Rama), ridiculously…",8,"english"
"What a great dance that all was. The flow of the fights are fantastic. Everything kept impressing me more. Thought the steel baseball face holder was my fave but I did like the wee man with the Velociraptor blades at the end. Great fight.  After watching this everything I did today had the same strength and agility, I know it. Controlled whoop, woa, arghh bang, smash, slam. Customers services, tag teamed with cigs n lottery. It's a duck diving head smashing game. 20 Club, let me get that for you, attack the drawer, slam on counter, push buttons, take money, hand sanitize. I'm done.",8,"english"
